rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split0_train_score
1,0.60625,0.0,0.6163463041100172,0.0,0.05891990661621094,0.0,0.0020418167114257812,0.0,5,1,2,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.60625,0.6163463041100172
2,0.6025,0.0,0.6122831692451945,0.0,0.04741549491882324,0.0,0.0027322769165039062,0.0,5,1,30,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.6025,0.6122831692451945
3,0.59875,0.0,0.608220034380372,0.0,0.04065442085266113,0.0,0.00804591178894043,0.0,5,1,100,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.59875,0.608220034380372
4,0.551875,0.0,0.5553992811376778,0.0,0.04876065254211426,0.0,0.0,0.0,4,30,2,"{'model__max_depth': 4, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.551875,0.5553992811376778
4,0.551875,0.0,0.5553992811376778,0.0,0.03273200988769531,0.0,0.0,0.0,4,30,30,"{'model__max_depth': 4, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.551875,0.5553992811376778
4,0.551875,0.0,0.5553992811376778,0.0,0.0386500358581543,0.0,0.0037689208984375,0.0,4,30,100,"{'model__max_depth': 4, 'model__min_samples_leaf': 30, 'model__min_samples_split': 100}",0.551875,0.5553992811376778
7,0.549375,0.0,0.5750898577902798,0.0,0.06226205825805664,0.0,0.007068157196044922,0.0,9,1,2,"{'model__max_depth': 9, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.549375,0.5750898577902798
8,0.5425,0.0,0.5649320206282231,0.0,0.06122326850891113,0.0,0.0040073394775390625,0.0,7,1,2,"{'model__max_depth': 7, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.5425,0.5649320206282231
9,0.538125,0.0,0.540084388185654,0.0,0.04061317443847656,0.0,0.0,0.0,4,100,2,"{'model__max_depth': 4, 'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.538125,0.540084388185654
9,0.538125,0.0,0.540084388185654,0.0,0.03386998176574707,0.0,0.006609439849853516,0.0,4,100,30,"{'model__max_depth': 4, 'model__min_samples_leaf': 100, 'model__min_samples_split': 30}",0.538125,0.540084388185654
9,0.538125,0.0,0.540084388185654,0.0,0.035816192626953125,0.0,0.004011392593383789,0.0,4,100,100,"{'model__max_depth': 4, 'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.538125,0.540084388185654
12,0.535625,0.0,0.5527426160337553,0.0,0.04486370086669922,0.0,0.010173559188842773,0.0,7,1,30,"{'model__max_depth': 7, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.535625,0.5527426160337553
13,0.525,0.0,0.5432098765432098,0.0,0.07625031471252441,0.0,0.0020439624786376953,0.0,7,1,100,"{'model__max_depth': 7, 'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.525,0.5432098765432098
14,0.524375,0.0,0.5472730114080325,0.0,0.06475424766540527,0.0,0.0004973411560058594,0.0,9,1,30,"{'model__max_depth': 9, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.524375,0.5472730114080325
15,0.515,0.0,0.5552430067198,0.0,0.07336020469665527,0.0,0.029163837432861328,0.0,10,1,2,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.515,0.5552430067198
16,0.493125,0.0,0.5130489138927957,0.0,0.062463998794555664,0.0,0.008681774139404297,0.0,9,1,100,"{'model__max_depth': 9, 'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.493125,0.5130489138927957
