rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__learning_rate_init,params,split0_test_score,split0_train_score
1,0.951875,0.0,0.9517112048757619,0.0,1.373216152191162,0.0,0.013870000839233398,0.0,1e-06,0.001,"{'model__alpha': 1e-06, 'model__learning_rate_init': 0.001}",0.951875,0.9517112048757619
1,0.951875,0.0,0.9517112048757619,0.0,1.419222116470337,0.0,0.025597333908081055,0.0,1e-06,0.1,"{'model__alpha': 1e-06, 'model__learning_rate_init': 0.1}",0.951875,0.9517112048757619
1,0.951875,0.0,0.9517112048757619,0.0,1.52659273147583,0.0,0.013561725616455078,0.0,1e-05,0.001,"{'model__alpha': 1e-05, 'model__learning_rate_init': 0.001}",0.951875,0.9517112048757619
1,0.951875,0.0,0.9517112048757619,0.0,1.6356720924377441,0.0,0.014787435531616211,0.0,1e-05,0.1,"{'model__alpha': 1e-05, 'model__learning_rate_init': 0.1}",0.951875,0.9517112048757619
1,0.951875,0.0,0.9517112048757619,0.0,1.2889409065246582,0.0,0.014571428298950195,0.0,0.0001,0.001,"{'model__alpha': 0.0001, 'model__learning_rate_init': 0.001}",0.951875,0.9517112048757619
1,0.951875,0.0,0.9517112048757619,0.0,1.3549425601959229,0.0,0.014886140823364258,0.0,0.0001,0.1,"{'model__alpha': 0.0001, 'model__learning_rate_init': 0.1}",0.951875,0.9517112048757619
1,0.951875,0.0,0.9517112048757619,0.0,1.5233104228973389,0.0,0.022747039794921875,0.0,0.001,0.001,"{'model__alpha': 0.001, 'model__learning_rate_init': 0.001}",0.951875,0.9517112048757619
1,0.951875,0.0,0.9517112048757619,0.0,1.24528169631958,0.0,0.022494792938232422,0.0,0.001,0.1,"{'model__alpha': 0.001, 'model__learning_rate_init': 0.1}",0.951875,0.9517112048757619
1,0.951875,0.0,0.9517112048757619,0.0,1.7918930053710938,0.0,0.019783735275268555,0.0,0.01,0.001,"{'model__alpha': 0.01, 'model__learning_rate_init': 0.001}",0.951875,0.9517112048757619
1,0.951875,0.0,0.9517112048757619,0.0,1.3403594493865967,0.0,0.013160228729248047,0.0,0.01,0.1,"{'model__alpha': 0.01, 'model__learning_rate_init': 0.1}",0.951875,0.9517112048757619
11,0.950625,0.0,0.9501484606969839,0.0,7.421146631240845,0.0,0.018198013305664062,0.0,1e-06,1e-05,"{'model__alpha': 1e-06, 'model__learning_rate_init': 1e-05}",0.950625,0.9501484606969839
11,0.950625,0.0,0.9501484606969839,0.0,2.2798664569854736,0.0,0.04845714569091797,0.0,1e-06,0.0001,"{'model__alpha': 1e-06, 'model__learning_rate_init': 0.0001}",0.950625,0.9501484606969839
11,0.950625,0.0,0.9501484606969839,0.0,7.1117589473724365,0.0,0.01495981216430664,0.0,1e-05,1e-05,"{'model__alpha': 1e-05, 'model__learning_rate_init': 1e-05}",0.950625,0.9501484606969839
11,0.950625,0.0,0.9501484606969839,0.0,1.821077823638916,0.0,0.01828289031982422,0.0,1e-05,0.0001,"{'model__alpha': 1e-05, 'model__learning_rate_init': 0.0001}",0.950625,0.9501484606969839
11,0.950625,0.0,0.9501484606969839,0.0,7.259546279907227,0.0,0.010940790176391602,0.0,0.0001,1e-05,"{'model__alpha': 0.0001, 'model__learning_rate_init': 1e-05}",0.950625,0.9501484606969839
11,0.950625,0.0,0.9501484606969839,0.0,1.717435598373413,0.0,0.013196229934692383,0.0,0.0001,0.0001,"{'model__alpha': 0.0001, 'model__learning_rate_init': 0.0001}",0.950625,0.9501484606969839
11,0.950625,0.0,0.9501484606969839,0.0,6.432637929916382,0.0,0.014163017272949219,0.0,0.001,1e-05,"{'model__alpha': 0.001, 'model__learning_rate_init': 1e-05}",0.950625,0.9501484606969839
11,0.950625,0.0,0.9501484606969839,0.0,2.040130376815796,0.0,0.017246484756469727,0.0,0.001,0.0001,"{'model__alpha': 0.001, 'model__learning_rate_init': 0.0001}",0.950625,0.9501484606969839
11,0.950625,0.0,0.9501484606969839,0.0,5.853276252746582,0.0,0.007292032241821289,0.0,0.01,1e-05,"{'model__alpha': 0.01, 'model__learning_rate_init': 1e-05}",0.950625,0.9501484606969839
11,0.950625,0.0,0.9501484606969839,0.0,2.366717576980591,0.0,0.01650524139404297,0.0,0.01,0.0001,"{'model__alpha': 0.01, 'model__learning_rate_init': 0.0001}",0.950625,0.9501484606969839
21,0.94875,0.0,0.9499921862791061,0.0,1.5008947849273682,0.0,0.028612852096557617,0.0,1e-06,0.01,"{'model__alpha': 1e-06, 'model__learning_rate_init': 0.01}",0.94875,0.9499921862791061
21,0.94875,0.0,0.9499921862791061,0.0,1.7382822036743164,0.0,0.016544818878173828,0.0,1e-05,0.01,"{'model__alpha': 1e-05, 'model__learning_rate_init': 0.01}",0.94875,0.9499921862791061
21,0.94875,0.0,0.9499921862791061,0.0,1.7360620498657227,0.0,0.015485286712646484,0.0,0.0001,0.01,"{'model__alpha': 0.0001, 'model__learning_rate_init': 0.01}",0.94875,0.9499921862791061
21,0.94875,0.0,0.9499921862791061,0.0,1.2497239112854004,0.0,0.027335643768310547,0.0,0.001,0.01,"{'model__alpha': 0.001, 'model__learning_rate_init': 0.01}",0.94875,0.9499921862791061
21,0.94875,0.0,0.9501484606969839,0.0,1.6954247951507568,0.0,0.017419099807739258,0.0,0.01,0.01,"{'model__alpha': 0.01, 'model__learning_rate_init': 0.01}",0.94875,0.9501484606969839
