rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__eta,param_model__gamma,param_model__lambda,params,split0_test_score,split0_train_score
1,0.9525,0.0,0.9520237537115174,0.0,15.565966844558716,0.0,0.07123017311096191,0.0,1,0,1000,"{'model__eta': 1, 'model__gamma': 0, 'model__lambda': 1000}",0.9525,0.9520237537115174
1,0.9525,0.0,0.9524925769651508,0.0,17.97263526916504,0.0,0.019499778747558594,0.0,1,10,0.1,"{'model__eta': 1, 'model__gamma': 10, 'model__lambda': 0.1}",0.9525,0.9524925769651508
3,0.951875,0.0,0.9517112048757619,0.0,7.928082704544067,0.0,0.03829216957092285,0.0,0.0001,0,10,"{'model__eta': 0.0001, 'model__gamma': 0, 'model__lambda': 10}",0.951875,0.9517112048757619
3,0.951875,0.0,0.9517112048757619,0.0,5.56926417350769,0.0,0.02036142349243164,0.0,0.0001,0,100,"{'model__eta': 0.0001, 'model__gamma': 0, 'model__lambda': 100}",0.951875,0.9517112048757619
3,0.951875,0.0,0.9517112048757619,0.0,6.885335206985474,0.0,0.03618979454040527,0.0,0.0001,0,1000,"{'model__eta': 0.0001, 'model__gamma': 0, 'model__lambda': 1000}",0.951875,0.9517112048757619
3,0.951875,0.0,0.9517112048757619,0.0,4.860758066177368,0.0,0.02500629425048828,0.0,0.0001,0,10000,"{'model__eta': 0.0001, 'model__gamma': 0, 'model__lambda': 10000}",0.951875,0.9517112048757619
3,0.951875,0.0,0.9517112048757619,0.0,15.23414397239685,0.0,0.020033836364746094,0.0,0.0001,10,0.0001,"{'model__eta': 0.0001, 'model__gamma': 10, 'model__lambda': 0.0001}",0.951875,0.9517112048757619
3,0.951875,0.0,0.9517112048757619,0.0,15.676664113998413,0.0,0.03096175193786621,0.0,0.0001,10,0.001,"{'model__eta': 0.0001, 'model__gamma': 10, 'model__lambda': 0.001}",0.951875,0.9517112048757619
3,0.951875,0.0,0.9517112048757619,0.0,16.770153284072876,0.0,0.015289306640625,0.0,0.0001,10,0.01,"{'model__eta': 0.0001, 'model__gamma': 10, 'model__lambda': 0.01}",0.951875,0.9517112048757619
3,0.951875,0.0,0.9517112048757619,0.0,17.159390687942505,0.0,0.017969369888305664,0.0,0.0001,10,0.1,"{'model__eta': 0.0001, 'model__gamma': 10, 'model__lambda': 0.1}",0.951875,0.9517112048757619
